Timestamp,Gender,Age Group ,"How many hours do you spend daily watching short-form videos (TikTok, Reels, Shorts)? ",How many times do you open short-video apps per hour? ,Have you tried to reduce your short-video usage? , Do you feel like you lose track of time once you start scrolling?,Do you find it difficult to stop watching even when you have urgent tasks?,Do you feel annoyed or bored quickly when watching long-form videos (more than 10 minutes)?,Do you use short videos as a primary way to escape from stress or boredom?,Have you noticed that your sleep quality or bedtime is affected by watching? ,Target
28/03/2026 23:50,0,1,1,0,1,2,2,0,3,2,1
28/03/2026 23:51,0,2,3,3,2,2,0,1,1,1,2
29/03/2026 0:03,1,0,3,3,0,3,1,0,2,0,2
29/03/2026 0:58,1,1,1,1,0,1,1,1,2,1,1
29/03/2026 1:07,0,1,3,1,1,1,0,0,1,1,1
29/03/2026 1:43,0,1,1,2,2,1,0,0,0,0,0
29/03/2026 1:45,0,3,2,0,2,3,1,1,2,2,2
29/03/2026 1:45,0,3,3,2,0,0,2,1,0,2,1
29/03/2026 2:06,0,2,1,1,2,1,2,0,0,2,1
29/03/2026 2:07,1,2,1,0,2,1,0,1,2,1,1
29/03/2026 2:28,0,2,2,1,0,3,2,1,1,2,2
29/03/2026 2:58,0,1,2,3,2,1,3,0,2,1,2
29/03/2026 3:11,0,1,3,3,0,3,3,1,2,1,2
29/03/2026 3:17,1,2,2,1,2,2,1,1,3,2,2
29/03/2026 3:37,0,1,2,2,1,2,1,0,1,1,1
29/03/2026 3:51,0,1,3,3,0,0,3,1,3,2,2
29/03/2026 4:03,0,0,3,3,0,0,0,1,2,1,1
29/03/2026 4:12,0,1,3,2,2,2,2,1,3,2,2
29/03/2026 7:13,0,1,0,0,0,2,3,1,1,2,1
29/03/2026 8:29,1,3,1,1,1,2,0,1,1,1,1
29/03/2026 9:21,1,3,3,3,0,3,0,1,3,0,2
29/03/2026 9:26,0,1,1,3,1,3,1,1,1,0,1
29/03/2026 11:28,0,0,1,3,2,3,3,1,3,2,2
29/03/2026 12:50,0,1,2,2,0,0,1,0,1,1,0
29/03/2026 13:48,0,2,1,0,1,1,1,1,1,1,0
29/03/2026 13:57,0,3,0,1,2,1,0,1,1,0,0
29/03/2026 14:01,0,3,1,1,1,1,0,1,1,1,0
29/03/2026 14:40,0,1,1,0,2,2,2,1,1,2,1
29/03/2026 14:41,0,2,3,1,0,1,0,0,2,1,1
29/03/2026 15:17,0,2,1,0,1,1,1,1,1,0,0
29/03/2026 15:20,0,1,1,1,2,1,1,0,2,1,1
29/03/2026 15:35,0,2,0,1,2,3,1,1,2,2,2
29/03/2026 16:14,0,1,1,0,1,2,1,1,2,1,1
29/03/2026 16:16,0,2,0,0,1,3,1,1,1,1,1
29/03/2026 16:28,0,3,0,0,0,1,0,0,2,1,0
29/03/2026 16:41,1,3,1,1,0,1,0,0,0,0,0
29/03/2026 17:04,1,1,1,1,1,3,2,1,3,2,2
29/03/2026 18:44,0,1,1,0,1,2,1,0,1,0,0
29/03/2026 19:35,0,1,2,3,0,1,1,0,0,0,0
29/03/2026 19:39,0,1,3,3,0,3,1,1,1,0,2
30/03/2026 3:34,0,1,1,1,0,2,1,0,2,1,1
30/03/2026 4:07,0,1,2,3,2,2,1,1,1,0,2
30/03/2026 6:52,0,1,1,3,2,2,2,0,2,2,2
30/03/2026 10:00,0,1,2,0,1,1,1,0,1,2,1
30/03/2026 14:26,0,2,1,1,2,1,1,1,1,1,1
30/03/2026 14:37,0,2,1,2,0,1,1,1,0,1,0
30/03/2026 18:31,0,1,3,3,2,2,3,0,3,2,2
31/03/2026 6:44,0,1,2,3,0,0,3,1,3,2,2
01/04/2026 13:39,0,1,2,3,0,3,3,1,3,1,2
02/04/2026 12:25,0,2,2,0,2,2,2,1,3,2,2
